Size,Sorted,Random,Reverse,Bubble,Selection,Insertion,Merge,Quick,Heap,Best
10,1,0,0,7.812070846557617e-06,9.37492847442627e-06,1.562666893005371e-06,2.187833786010742e-05,1.8746447563171386e-05,1.4722156524658204e-05,2
10,0,1,0,1.2500572204589843e-05,6.25154972076416e-06,4.687571525573731e-06,2.1874523162841798e-05,7.813215255737305e-06,1.2498664855957032e-05,2
10,0,0,1,1.2500238418579102e-05,6.250071525573731e-06,9.374785423278809e-06,2.500026226043701e-05,1.2499475479125977e-05,1.4062666893005371e-05,1
20,1,0,0,2.1868896484375e-05,2.188248634338379e-05,6.248331069946289e-06,5.000152587890625e-05,4.374990463256836e-05,4.687428474426269e-05,2
20,0,1,0,3.4375429153442386e-05,2.1875476837158202e-05,1.25e-05,4.9999284744262694e-05,1.5624475479125976e-05,3.750028610229492e-05,2
20,0,0,1,4.687619209289551e-05,2.499203681945801e-05,3.1257438659667966e-05,4.9999475479125975e-05,4.862370491027832e-05,3.0689430236816406e-05,1
30,1,0,0,4.521683819688121e-05,3.988450259515698e-05,9.13294092012961e-06,7.667886291650405e-05,9.724223288265106e-05,6.863801213953183e-05,2
30,0,1,0,7.06600992664574e-05,4.520203092239156e-05,3.77903104794122e-05,7.450670012832582e-05,2.762200486863872e-05,7.02241788281001e-05,4
30,0,0,1,9.43630406207735e-05,3.743164538621831e-05,7.911505300005098e-05,8.283268035513269e-05,6.463682905460956e-05,5.179062427574545e-05,1
40,1,0,0,8.171405792236329e-05,6.53752326965332e-05,7.35158920288086e-06,0.00010007171630859375,0.0002075857162475586,9.795570373535156e-05,2
40,0,1,0,0.00012266702651977539,6.153888702392578e-05,7.759666442871094e-05,0.0001265782356262207,5.318136215209961e-05,0.00012249860763549803,4
40,0,0,1,0.0002300490379333496,8.564033508300781e-05,0.0001514333724975586,0.00015623292922973633,0.00013543844223022462,0.0001021200180053711,1
50,1,0,0,0.0001417931318283081,0.00012625408172607422,1.0125517845153808e-05,0.0001891593933105469,0.0004579178094863892,0.00021095311641693116,2
50,0,1,0,0.0002656080722808838,0.00014032459259033202,0.00014844000339508056,0.00020314013957977296,7.810783386230469e-05,0.0002031421661376953,4
50,0,0,1,0.0003437322378158569,0.00011720681190490723,0.00021873128414154054,0.00018751680850982667,0.00017187750339508058,0.00011718475818634034,5
60,1,0,0,0.00015944020659411227,0.00015944464295422758,9.372168514622645e-06,0.00020633310544676856,0.000412663921159284,0.00026258457751691987,2
60,0,1,0,0.00038455199508392223,0.00015943863240181326,0.00013130337965874827,0.0002157102827550698,8.440862039701135e-05,0.0001688165252520686,4
60,0,0,1,0.00037514891515688306,0.00015943848929342246,0.00032826088198951455,0.0002532038224988482,0.0003751523497582627,0.00020633153125446956,1
70,1,0,0,0.0002407461655240099,0.0001860114038825369,1.0941208911543132e-05,0.00024072279115350975,0.00044861878333639365,0.00021883419581821987,2
70,0,1,0,0.00039390672822626365,0.0001969554511104979,0.00031729021660086156,0.00038298922760479924,0.00013130368972692836,0.00024069758022532742,4
70,0,0,1,0.0005908601758192901,0.0002336482040020598,0.0006565154433584347,0.00043767590482695766,0.00042675322845202535,0.00021883786893358418,5
80,1,0,0,0.00031250152587890625,0.0002374969482421875,1.2505531311035156e-05,0.00026249847412109374,0.0006374988555908203,0.0002624971389770508,2
80,0,1,0,0.0004874727249145508,0.00030003013610839844,0.00023749942779541016,0.0002749673843383789,0.0001125274658203125,0.00027500209808349607,4
80,0,0,1,0.0006875038146972656,0.00027499942779541015,0.0004891805648803711,0.0002750034332275391,0.0003999980926513672,0.0001999979019165039,5
90,1,0,0,0.0003375361139553286,0.00032346920319015546,1.4062189605190987e-05,0.0003094072281831455,0.0007172592259225923,0.00032346705720834535,2
90,0,1,0,0.0006469396939693969,0.00030941130554858464,0.0003234636236374492,0.00030941323693221373,0.00011250695916149232,0.00029533988822161023,4
90,0,0,1,0.0009422877369218856,0.0003093990734522671,0.00065154475633568,0.0002953366692488951,0.0005062954797066621,0.000253147096058788,5
100,1,0,0,0.00040625333786010743,0.0003750021457672119,1.562356948852539e-05,0.0003437504768371582,0.0009687442779541016,0.00032812952995300295,2
100,0,1,0,0.0007187120914459228,0.00037503957748413085,0.0003906230926513672,0.0003593697547912598,0.00010937952995300293,0.0003124980926513672,4
100,0,0,1,0.0010312490463256837,0.00037500190734863283,0.0007687261104583741,0.0003124980926513672,0.0006249938011169434,0.00031250643730163576,3
110,1,0,0,0.00048130075267963806,0.0004469141839492177,1.718764520189812e-05,0.00036097359735973595,0.0012032458491057845,0.00037816176713496543,2
110,0,1,0,0.000945412286437384,0.0004640693056045717,0.0004641490407509379,0.00039535570721683984,0.00015465811927719872,0.00044696139554903976,4
